Dependency=geometry_unit_cfa_bin_simp,Dependency=vintage_simp,Dependency=heating_fuel,100,101-124,125,126-199,200,201+,<100,source_weight,source_count,fallback_count,fallback_weight
0-999,1940-69,electricity,0.27001569858712715,0.0,0.5447409733124018,0.0,0.09262166405023547,0.06750392464678179,0.025117739403453687,14.813953488372094,28.0,28.0,14.813953488372094
0-999,1940-69,non-electricity,0.9846474108769191,0.004163413999479573,0.0,0.0,0.011189175123601352,0.0,0.0,89.37209302325581,90.0,90.0,89.37209302325581
0-999,1970-79,electricity,0.07074395253308992,0.04189867640346875,0.5899589228662712,0.05769055225924236,0.18201734367868555,0.01442263806481059,0.04326791419443177,36.3953488372093,63.0,63.0,36.3953488372093
0-999,1970-79,non-electricity,0.9104909380187854,0.002472900188134539,0.0006392114701295431,0.013291838511223146,0.019937757766834718,0.006645919255611573,0.04652143478928101,0.0,0.0,152.0,150.4682740699319
0-999,1980-89,electricity,0.02297872340425532,0.0,0.44212765957446815,0.1846808510638298,0.17319148936170214,0.0,0.1770212765957447,5.773955773955773,40.0,40.0,5.773955773955773
0-999,1980-89,non-electricity,0.9104909380187854,0.002472900188134539,0.0006392114701295431,0.013291838511223146,0.019937757766834718,0.006645919255611573,0.04652143478928101,4.0,4.0,152.0,150.4682740699319
0-999,1990+,electricity,0.027607361963190184,0.0,0.6226993865030676,0.03680981595092025,0.30368098159509205,0.0,0.009202453987730062,11.642857142857142,67.0,67.0,11.642857142857142
0-999,1990+,non-electricity,0.019867549668874177,0.0,0.7350993377483446,0.019867549668874177,0.019867549668874177,0.185430463576159,0.019867549668874177,5.3928571428571415,17.0,17.0,5.3928571428571415
0-999,<1940,electricity,0.13936342384463227,0.0,0.2005035065635677,0.13936342384463227,0.12713540730084516,0.0,0.3936342384463226,7.865629420084866,16.0,16.0,7.865629420084866
0-999,<1940,non-electricity,0.8582010057720415,0.0,0.0016845443059925187,0.035028612480491494,0.0,0.0,0.10508583744147447,57.096181046676094,58.0,58.0,57.096181046676094
1000-1999,1940-69,electricity,0.07232968881412952,0.0,0.7084384636949818,0.0,0.03728623493131483,0.0,0.18194561255957387,13.825581395348838,24.0,24.0,13.825581395348838
1000-1999,1940-69,non-electricity,0.8198259733317494,0.003949752026846435,0.02298577495322662,0.015323849968817747,0.030647699937635494,0.0,0.10726694978172423,130.515503875969,131.0,131.0,130.515503875969
1000-1999,1970-79,electricity,0.5546056260341975,0.007777164920022063,0.30330943188086046,0.031108659680088253,0.05548814120242692,0.024379481522338667,0.02333149476006619,60.23255813953488,90.0,90.0,60.23255813953488
1000-1999,1970-79,non-electricity,0.6785714285714286,0.0,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.07142857142857142,28.0,28.0,28.0,28.0
1000-1999,1980-89,electricity,0.13355048859934854,0.0,0.5564603691639523,0.06677524429967427,0.22095548317046687,0.0,0.02225841476655809,27.154791154791155,41.0,41.0,27.154791154791155
1000-1999,1980-89,non-electricity,0.45454545454545453,0.0,0.09090909090909091,0.045454545454545456,0.22727272727272727,0.09090909090909091,0.09090909090909091,22.0,22.0,22.0,22.0
1000-1999,1990+,electricity,0.11250000000000002,0.0,0.6687500000000001,0.06875,0.11875000000000001,0.018750000000000003,0.0125,53.33333333333333,74.0,74.0,53.33333333333333
